"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","51.275","52.147","53.019","53.889","54.758","55.622","56.483","57.341","58.195","59.042","59.864","60.657","61.445","62.225","63","63.611","64.219","64.821","65.419","65.839","66.05","66.259","66.467","66.675","66.883","67.09","67.296","67.501","67.706","67.69","67.421","67.15","66.878","66.606","66.332","66.057","65.781","65.504","65.226","64.947","64.666","64.385","64.236","64.137","64.038","63.938","63.839","63.739","63.64","63.54","63.44","63.34","63.24","63.164","63.112","63.085","63.082","63.103","63.149","63.219","63.313","63.431","63.573","63.739","63.929",
"American Samoa","ASM","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","66.211","66.641","67.068","67.493","67.916","68.334","68.75","69.163","69.574","69.98","70.384","70.784","71.182","71.576","71.967","72.354","72.739","73.12","73.497","73.871","74.33","75.043","75.743","76.429","77.103","77.762","78.408","79.04","79.659","80.263","80.948","81.886","82.789","83.654","84.485","85.28","86.043","86.771","87.467","88.131","88.587","88.491","88.394","88.297","88.198","88.1","88","87.9","87.799","87.697","87.594","87.502","87.42","87.348","87.288","87.238","87.198","87.17","87.153","87.147","87.153","87.169","87.196","87.235","87.284",
"Antigua and Barbuda","ATG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","39.656","39.04","38.427","37.817","37.211","36.61","36.012","35.418","34.829","34.245","33.819","33.898","33.978","34.057","34.137","34.217","34.297","34.377","34.457","34.538","34.618","34.698","34.779","34.86","34.94","35.021","35.102","35.183","35.264","35.345","35.426","35.465","35.085","34.709","34.334","33.961","33.59","33.221","32.855","32.49","32.127","31.74","31.098","30.464","29.837","29.218","28.606","28.002","27.405","26.818","26.238","25.703","25.526","25.35","25.175","25","24.846","24.713","24.599","24.506","24.433","24.38","24.346","24.332","24.338",
"Australia","AUS","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","81.529","81.941","82.228","82.511","82.792","83.068","83.34","83.507","83.672","83.836","83.999","84.16","84.32","84.478","84.636","84.792","84.947","85.1","85.252","85.403","85.552","85.7","85.67","85.641","85.611","85.582","85.552","85.522","85.493","85.463","85.433","85.403","85.285","85.157","85.028","84.898","84.767","84.636","84.503","84.37","84.235","84.1","84.222","84.343","84.463","84.582","84.7","84.822","84.943","85.063","85.182","85.3","85.402","85.502","85.602","85.701","85.8","85.904","86.012","86.124","86.241","86.362","86.488","86.617","86.75",
"Austria","AUT","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","64.72","64.814","64.863","64.913","64.962","65.011","65.061","65.11","65.159","65.208","65.258","65.301","65.311","65.321","65.331","65.341","65.351","65.361","65.371","65.381","65.391","65.364","65.1","64.836","64.57","64.305","64.037","63.769","63.5","63.231","62.96","62.689","62.417","62.144","61.87","61.596","61.32","61.045","60.768","60.491","60.213","59.934","59.655","59.375","59.094","58.813","58.532","58.249","57.966","57.683","57.399","57.115","57.147","57.336","57.526","57.715","57.905","58.094","58.297","58.515","58.748","58.995","59.256","59.53","59.819",
"Azerbaijan","AZE","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","52.663","52.364","52.064","51.764","51.464","51.164","50.864","50.564","50.263","49.963","50.008","50.462","50.917","51.371","51.698","51.897","52.096","52.294","52.492","52.655","52.777","52.897","53.018","53.139","53.299","53.498","53.697","53.895","54.094","54.057","53.749","53.441","53.132","52.824","52.515","52.206","51.896","51.588","51.278","51.185","51.386","51.587","51.787","51.988","52.189","52.389","52.589","52.79","52.99","53.19","53.406","53.637","53.883","54.145","54.422","54.714","55.021","55.343","55.68","56.031","56.397","56.776","57.17","57.577","57.997",
"Burundi","BDI","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","2.077","2.115","2.154","2.193","2.233","2.294","2.395","2.501","2.611","2.726","2.845","2.97","3.101","3.236","3.377","3.525","3.678","3.838","4.005","4.178","4.339","4.503","4.674","4.85","5.033","5.221","5.417","5.62","5.83","6.047","6.271","6.455","6.637","6.823","7.014","7.211","7.412","7.618","7.83","8.036","8.246","8.461","8.682","8.908","9.139","9.375","9.617","9.864","10.118","10.376","10.642","10.915","11.194","11.482","11.776","12.078","12.388","12.706","13.032","13.366","13.708","14.058","14.417","14.784","15.16",
"Belgium","BEL","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","92.46","92.554","92.679","92.835","92.988","93.137","93.284","93.428","93.569","93.707","93.843","93.976","94.106","94.233","94.358","94.48","94.6","94.806","95.005","95.196","95.381","95.535","95.637","95.737","95.835","95.93","96.023","96.115","96.204","96.292","96.377","96.461","96.542","96.622","96.7","96.777","96.851","96.924","96.996","97.065","97.129","97.186","97.241","97.296","97.35","97.403","97.454","97.505","97.555","97.603","97.651","97.698","97.744","97.789","97.833","97.876","97.919","97.961","98.001","98.041","98.079","98.117","98.153","98.189","98.224",
"Benin","BEN","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","9.275","9.856","10.47","11.118","11.801","12.519","13.275","14.069","14.903","15.776","16.691","17.647","18.648","19.689","20.775","21.904","23.079","24.293","25.552","26.676","27.339","28.01","28.692","29.384","30.086","30.796","31.517","32.246","32.985","33.73","34.485","35.247","35.827","36.136","36.447","36.758","37.071","37.385","37.699","38.015","38.333","38.65","39.036","39.536","40.039","40.543","41.049","41.558","42.069","42.58","43.093","43.608","44.125","44.642","45.166","45.695","46.229","46.768","47.312","47.861","48.415","48.972","49.534","50.1","50.669",
"Burkina Faso","BFA","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","4.7","4.796","4.893","4.993","5.095","5.198","5.303","5.411","5.52","5.632","5.746","5.861","5.98","6.1","6.222","6.347","6.668","7.151","7.668","8.218","8.805","9.428","10.091","10.796","11.544","12.334","12.832","13.072","13.316","13.563","13.815","14.07","14.33","14.593","14.86","15.131","15.407","15.875","16.51","17.166","17.844","18.54","19.258","19.996","20.757","21.537","22.339","22.996","23.534","24.079","24.633","25.196","25.767","26.346","26.934","27.53","28.134","28.743","29.358","29.98","30.607","31.24","31.877","32.52","33.166",
"Bangladesh","BGD","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","5.135","5.278","5.498","5.727","5.964","6.211","6.467","6.733","7.009","7.296","7.593","7.901","8.221","8.553","9.034","9.836","10.701","11.63","12.629","13.701","14.851","15.801","16.212","16.631","17.06","17.496","17.941","18.395","18.859","19.33","19.811","20.257","20.61","20.966","21.328","21.693","22.064","22.438","22.818","23.202","23.59","24.096","24.756","25.429","26.114","26.809","27.517","28.237","28.968","29.709","30.462","31.225","31.993","32.762","33.535","34.308","35.083","35.858","36.632","37.405","38.177","38.946","39.711","40.473","41.23",
"Bulgaria","BGR","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","37.1","38.782","40.494","42.23","43.987","45.755","47.233","48.499","49.768","51.034","52.3","53.36","54.419","55.471","56.519","57.562","58.526","59.428","60.326","61.216","62.1","62.603","63.104","63.603","64.099","64.59","64.999","65.346","65.692","66.035","66.377","66.717","67.056","67.33","67.557","67.782","68.007","68.231","68.454","68.677","68.899","69.166","69.524","69.879","70.233","70.584","70.932","71.278","71.622","71.963","72.302","72.638","72.975","73.313","73.651","73.99","74.329","74.669","75.008","75.347","75.686","76.025","76.363","76.701","77.037",
"Bahrain","BHR","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","82.32","82.337","82.355","82.372","82.389","82.5","82.761","83.019","83.275","83.526","83.775","84.021","84.265","84.504","84.741","84.975","85.206","85.434","85.659","85.882","86.101","86.317","86.531","86.742","86.95","87.155","87.357","87.557","87.754","87.949","88.14","88.329","88.398","88.395","88.392","88.388","88.385","88.382","88.379","88.376","88.372","88.369","88.373","88.383","88.399","88.422","88.452","88.488","88.53","88.579","88.634","88.695","88.762","88.835","88.915","88.999","89.09","89.186","89.287","89.394","89.506","89.622","89.743","89.869","89.999",
"Bahamas, The","BHS","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","59.712","60.454","61.193","61.926","62.642","63.343","64.04","64.73","65.416","66.093","66.764","67.429","68.088","68.738","69.381","70.017","70.647","71.266","71.879","72.484","73.102","73.843","74.571","75.285","75.987","76.674","77.347","78.007","78.654","79.284","79.838","80.067","80.293","80.518","80.74","80.961","81.18","81.396","81.611","81.824","82.007","82.049","82.092","82.134","82.176","82.218","82.26","82.302","82.343","82.385","82.427","82.476","82.532","82.596","82.668","82.746","82.832","82.925","83.025","83.132","83.245","83.365","83.492","83.625","83.764",
"Bosnia and Herzegovina","BIH","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","19.04","19.686","20.437","21.209","22.004","22.817","23.652","24.509","25.387","26.283","27.201","28.094","28.875","29.666","30.471","31.288","32.118","32.957","33.808","34.67","35.543","36.282","36.607","36.933","37.261","37.589","37.919","38.25","38.583","38.915","39.249","39.578","39.887","40.196","40.506","40.817","41.13","41.442","41.755","42.069","42.384","42.698","43.014","43.33","43.648","43.965","44.282","44.601","44.92","45.239","45.558","45.878","46.199","46.519","46.84","47.173","47.518","47.876","48.245","48.626","49.02","49.425","49.841","50.269","50.708",
"Belarus","BLR","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","32.401","33.522","34.663","35.822","37","38.127","39.269","40.422","41.588","42.76","44.01","45.349","46.697","48.046","49.4","50.614","51.829","53.039","54.247","55.402","56.498","57.584","58.664","59.736","60.8","61.833","62.857","63.87","64.872","65.585","65.981","66.374","66.766","67.155","67.541","67.926","68.308","68.687","69.064","69.482","69.973","70.458","70.939","71.415","71.887","72.354","72.816","73.273","73.726","74.172","74.672","75.188","75.697","76.199","76.693","77.181","77.661","78.134","78.595","79.044","79.483","79.91","80.326","80.731","81.125",
